customer_id,signup_date,segment,industry,country,plan,mrr,contract_length,number_of_users,support_tickets,usage_score,nps_score,churn_date,is_churned,lifetime_months,total_revenue,clv,last_transaction_date,recency_days,transaction_count,avg_transaction_value,cohort_month
CUST_000015,28-03-2020,Mid-Market,Healthcare,Canada,Professional,149,12,37,2,71,16,,0,58,8786.97,8786.97,28-12-2024,3,58,151.4994828,2020-03
CUST_000016,28-10-2023,Small Business,Finance,USA,Professional,149,1,6,4,44,70,,0,14.3,2299.29,2299.29,28-12-2024,3,15,153.286,2023-10
CUST_000017,28-01-2023,Startup,Technology,Other,Business,399,12,1,1,66,20,,0,23.4,9644.73,9644.73,28-12-2024,3,24,401.86375,2023-01
CUST_000018,21-05-2022,Enterprise,Education,USA,Professional,149,1,448,2,42,50,,0,31.8,4860.89,4860.89,21-12-2024,10,32,151.9028125,2022-05
CUST_000019,14-08-2024,Startup,Technology,Canada,Basic,49,1,1,2,56,3,,0,4.6,235.53,235.53,14-12-2024,17,5,47.106,2024-08
CUST_000020,10-05-2020,Mid-Market,Finance,UK,Enterprise,999,1,23,2,83,32,,0,56.5,56916.11,56916.11,10-12-2024,21,56,1016.359107,2020-05
CUST_000021,12-08-2024,Startup,Retail,Canada,Professional,149,24,2,1,45,71,,0,4.7,752.99,752.99,12-12-2024,19,5,150.598,2024-08
CUST_000022,25-08-2023,Startup,Technology,USA,Basic,49,1,1,2,63,55,,0,16.5,875.56,875.56,25-12-2024,6,17,51.50352941,2023-08
CUST_000023,08-02-2022,Small Business,Real Estate,Germany,Professional,149,12,3,2,48,52,10-11-2023,1,21.3,3274.3,3274.3,08-11-2023,419,22,148.8318182,2022-02
CUST_000024,09-12-2020,Small Business,Education,Other,Basic,49,1,5,4,71,-44,,0,49.4,2482.19,2482.19,09-12-2024,22,49,50.65693878,2020-12
CUST_000025,24-02-2024,Small Business,Finance,UK,Basic,49,1,2,1,83,5,01-12-2024,1,9.4,534.66,534.66,24-11-2024,37,10,53.466,2024-02
CUST_000026,08-12-2023,Small Business,Finance,UK,Professional,149,1,2,5,55,35,,0,13,2028.54,2028.54,08-12-2024,23,13,156.0415385,2023-12
CUST_000027,16-03-2022,Enterprise,Technology,USA,Professional,149,12,222,1,69,21,,0,34,5044.3,5044.3,16-12-2024,15,34,148.3617647,2022-03
CUST_000028,20-01-2021,Enterprise,Manufacturing,Australia,Professional,149,1,178,1,60,9,,0,48,7325.39,7325.39,20-12-2024,11,48,152.6122917,2021-01
CUST_000029,30-04-2023,Enterprise,Technology,Other,Enterprise,999,1,52,6,45,-4,10-04-2024,1,11.5,12266.59,12266.59,29-03-2024,277,12,1022.215833,2023-04
CUST_000030,13-08-2022,Small Business,Manufacturing,France,Business,399,24,6,1,72,69,,0,29,11801.99,11801.99,13-12-2024,18,29,406.9651724,2022-08
CUST_000031,03-10-2020,Mid-Market,Education,UK,Basic,49,12,22,2,74,43,,0,51.7,2524.87,2524.87,03-12-2024,28,51,49.5072549,2020-10
CUST_000032,30-03-2023,Small Business,Technology,Other,Basic,49,1,5,1,45,64,,0,21.4,1051.53,1051.53,29-12-2024,2,22,47.79681818,2023-03
CUST_000033,04-04-2021,Startup,Real Estate,USA,Professional,149,12,4,4,82,100,,0,45.6,6807.65,6807.65,04-12-2024,27,45,151.2811111,2021-04
CUST_000034,30-08-2023,Small Business,Technology,UK,Professional,149,1,8,4,90,-44,,0,16.3,2622.21,2622.21,29-12-2024,2,17,154.2476471,2023-08
CUST_000035,22-01-2020,Small Business,Real Estate,UK,Business,399,12,7,1,47,40,,0,60.2,24560.64,24560.64,22-12-2024,9,60,409.344,2020-01
CUST_000036,09-09-2020,Small Business,Technology,UK,Professional,149,12,6,1,92,20,,0,52.5,7858.13,7858.13,09-12-2024,22,52,151.1178846,2020-09
CUST_000037,17-01-2022,Startup,Retail,France,Basic,49,1,2,0,65,77,,0,36,1761.6,1761.6,17-12-2024,14,36,48.93333333,2022-01
CUST_000038,06-05-2022,Startup,Healthcare,Germany,Professional,149,1,1,2,63,69,,0,32.3,4884.11,4884.11,06-12-2024,25,32,152.6284375,2022-05
CUST_000039,03-05-2024,Startup,Education,USA,Business,399,12,4,1,98,24,,0,8.1,3416.51,3416.51,03-12-2024,28,8,427.06375,2024-05
CUST_000040,19-04-2021,Startup,Finance,USA,Enterprise,999,24,2,2,81,35,,0,45.1,45313.35,45313.35,19-12-2024,12,45,1006.963333,2021-04
CUST_000041,18-12-2022,Enterprise,Technology,USA,Basic,49,1,124,3,52,70,,0,24.8,1272.74,1272.74,18-12-2024,13,25,50.9096,2022-12
CUST_000042,25-05-2021,Startup,Retail,Canada,Professional,149,1,1,2,54,58,,0,43.9,6764.37,6764.37,25-12-2024,6,44,153.7356818,2021-05
CUST_000043,01-09-2024,Startup,Finance,USA,Basic,49,12,2,4,71,100,,0,4,201.87,201.87,01-12-2024,30,4,50.4675,2024-09
CUST_000044,08-02-2024,Mid-Market,Retail,USA,Professional,149,12,24,5,71,40,,0,10.9,1621.66,1621.66,08-12-2024,23,11,147.4236364,2024-02
CUST_000045,30-11-2021,Startup,Real Estate,Germany,Basic,49,1,1,3,64,16,,0,37.6,1895.87,1895.87,28-12-2024,3,38,49.89131579,2021-11
CUST_000046,02-09-2022,Mid-Market,Finance,Australia,Enterprise,999,1,40,3,50,-4,,0,28.4,28557.11,28557.11,02-12-2024,29,28,1019.896786,2022-09
CUST_000047,11-12-2024,Small Business,Healthcare,Other,Professional,149,1,4,5,54,38,,0,0.7,150.71,150.71,11-12-2024,20,1,150.71,2024-12
CUST_000048,08-07-2020,Mid-Market,Technology,Other,Business,399,1,18,1,64,-7,,0,54.6,21985.62,21985.62,08-12-2024,23,54,407.1411111,2020-07
CUST_000049,15-08-2022,Small Business,Retail,France,Enterprise,999,12,8,3,33,34,,0,29,30893.73,30893.73,15-12-2024,16,29,1065.301034,2022-08
CUST_000050,17-11-2021,Small Business,Finance,USA,Basic,49,1,2,0,74,99,,0,38,1869.44,1869.44,17-12-2024,14,38,49.19578947,2021-11
CUST_000051,15-08-2022,Small Business,Healthcare,Australia,Business,399,12,6,4,70,68,,0,29,11729.27,11729.27,15-12-2024,16,29,404.4575862,2022-08
CUST_000052,16-07-2021,Small Business,Technology,USA,Business,399,36,5,2,46,-24,13-03-2023,1,20.2,8120.14,8120.14,16-02-2023,684,20,406.007,2021-07
CUST_000053,09-05-2024,Mid-Market,Finance,Germany,Professional,149,12,14,1,74,-43,,0,7.9,1220.56,1220.56,09-12-2024,22,8,152.57,2024-05
CUST_000054,21-06-2023,Startup,Other,UK,Professional,149,12,3,4,30,-38,,0,18.6,2827.57,2827.57,21-12-2024,10,19,148.8194737,2023-06
CUST_000055,11-04-2022,Mid-Market,Healthcare,France,Professional,149,12,21,3,72,6,,0,33.2,4935.31,4935.31,11-12-2024,20,33,149.5548485,2022-04
CUST_000056,08-03-2024,Small Business,Retail,UK,Business,399,12,2,4,82,16,,0,9.9,4005.08,4005.08,08-12-2024,23,10,400.508,2024-03
CUST_000057,28-02-2023,Startup,Education,USA,Professional,149,24,1,2,72,74,,0,22.4,3467.59,3467.59,28-12-2024,3,23,150.7647826,2023-02
CUST_000058,17-02-2024,Startup,Manufacturing,Canada,Professional,149,12,4,2,77,62,,0,10.6,1597.87,1597.87,17-12-2024,14,11,145.2609091,2024-02
CUST_000059,08-10-2021,Small Business,Healthcare,USA,Basic,49,12,9,3,78,52,,0,39.3,1944.57,1944.57,08-12-2024,23,39,49.86076923,2021-10
CUST_000060,21-01-2020,Startup,Retail,Other,Basic,49,1,1,0,72,5,,0,60.2,3047.59,3047.59,21-12-2024,10,60,50.79316667,2020-01
CUST_000061,20-04-2022,Startup,Real Estate,UK,Basic,49,12,3,4,63,7,,0,32.9,1604.18,1604.18,20-12-2024,11,33,48.61151515,2022-04
CUST_000062,15-06-2020,Startup,Technology,Canada,Basic,49,12,2,1,58,3,,0,55.3,2832.22,2832.22,15-12-2024,16,55,51.49490909,2020-06
CUST_000063,21-07-2023,Small Business,Finance,Other,Professional,149,1,2,0,87,86,,0,17.6,2691.75,2691.75,21-12-2024,10,18,149.5416667,2023-07
CUST_000064,22-01-2021,Mid-Market,Technology,Canada,Basic,49,12,18,2,77,5,,0,48,2408.25,2408.25,22-12-2024,9,48,50.171875,2021-01
CUST_000065,23-08-2021,Mid-Market,Healthcare,USA,Basic,49,12,48,3,88,-28,,0,40.9,2056.57,2056.57,23-12-2024,8,41,50.1602439,2021-08
CUST_000066,11-11-2020,Mid-Market,Finance,USA,Business,399,12,13,1,84,23,,0,50.4,20589.56,20589.56,11-12-2024,20,50,411.7912,2020-11
CUST_000067,14-01-2020,Small Business,Manufacturing,UK,Business,399,36,4,1,41,92,,0,60.4,24316.07,24316.07,14-12-2024,17,60,405.2678333,2020-01
CUST_000068,29-08-2020,Enterprise,Technology,Australia,Business,399,1,415,0,51,27,,0,52.8,21523.52,21523.52,28-12-2024,3,53,406.1041509,2020-08
CUST_000069,15-02-2022,Small Business,Finance,France,Enterprise,999,1,5,0,28,27,26-07-2023,1,17.5,18134.98,18134.98,15-07-2023,535,18,1007.498889,2022-02
CUST_000070,01-10-2023,Small Business,Retail,Other,Basic,49,24,9,3,33,-23,,0,15.2,722.38,722.38,01-12-2024,30,15,48.15866667,2023-10
CUST_000071,18-07-2021,Mid-Market,Finance,USA,Basic,49,36,36,0,28,51,,0,42.1,2065.34,2065.34,18-12-2024,13,42,49.1747619,2021-07
CUST_000072,16-06-2022,Startup,Manufacturing,USA,Basic,49,12,2,1,19,69,15-02-2024,1,20.3,996.45,996.45,16-01-2024,350,20,49.8225,2022-06
CUST_000073,25-09-2023,Small Business,Healthcare,USA,Enterprise,999,1,8,2,60,22,02-02-2024,1,4.3,4765.79,4765.79,25-01-2024,341,5,953.158,2023-09
CUST_000074,01-04-2020,Enterprise,Other,France,Business,399,12,474,6,88,59,,0,57.8,23431.92,23431.92,01-12-2024,30,57,411.0863158,2020-04
CUST_000075,22-10-2023,Startup,Finance,USA,Basic,49,1,2,2,72,-89,,0,14.5,746.46,746.46,22-12-2024,9,15,49.764,2023-10
CUST_000076,13-08-2022,Enterprise,Retail,USA,Basic,49,24,334,1,78,94,,0,29,1480.15,1480.15,13-12-2024,18,29,51.03965517,2022-08
CUST_000077,18-01-2024,Small Business,Education,Canada,Professional,149,24,6,0,66,34,,0,11.6,1768.2,1768.2,18-12-2024,13,12,147.35,2024-01
CUST_000078,22-12-2023,Startup,Healthcare,UK,Basic,49,1,2,4,67,2,,0,12.5,642.45,642.45,22-12-2024,9,13,49.41923077,2023-12
CUST_000079,23-05-2021,Small Business,Technology,Germany,Professional,149,24,2,1,80,13,,0,43.9,6814.38,6814.38,23-12-2024,8,44,154.8722727,2021-05
CUST_000080,14-02-2022,Startup,Manufacturing,UK,Enterprise,999,12,4,2,61,100,,0,35,35667.88,35667.88,14-12-2024,17,35,1019.082286,2022-02
CUST_000081,04-02-2020,Small Business,Finance,UK,Professional,149,36,3,2,67,38,,0,59.7,8864.9,8864.9,04-12-2024,27,59,150.2525424,2020-02
CUST_000082,24-07-2020,Small Business,Real Estate,UK,Enterprise,999,36,5,4,56,45,,0,54,55885.24,55885.24,24-12-2024,7,54,1034.911852,2020-07
CUST_000083,09-01-2023,Enterprise,Other,Australia,Professional,149,1,238,1,40,32,,0,24.1,3750.09,3750.09,09-12-2024,22,24,156.25375,2023-01
CUST_000084,04-05-2024,Mid-Market,Healthcare,USA,Professional,149,1,13,4,62,8,,0,8,1182.47,1182.47,04-12-2024,27,8,147.80875,2024-05
CUST_000085,12-11-2023,Startup,Finance,USA,Business,399,12,2,1,41,-28,,0,13.8,5600.44,5600.44,12-12-2024,19,14,400.0314286,2023-11
CUST_000086,22-10-2022,Small Business,Finance,USA,Professional,149,36,8,0,82,60,,0,26.7,4125.86,4125.86,22-12-2024,9,27,152.8096296,2022-10
CUST_000087,18-10-2022,Small Business,Healthcare,USA,Professional,149,36,6,1,74,15,,0,26.8,4094.16,4094.16,18-12-2024,13,27,151.6355556,2022-10
CUST_000088,14-11-2023,Small Business,Education,Australia,Business,399,12,8,1,94,26,,0,13.8,5616.34,5616.34,14-12-2024,17,14,401.1671429,2023-11
CUST_000089,19-07-2021,Small Business,Manufacturing,USA,Business,399,1,2,1,49,72,,0,42,16846.86,16846.86,19-12-2024,12,42,401.1157143,2021-07
CUST_000090,03-02-2023,Enterprise,Finance,Other,Basic,49,1,85,0,37,60,27-08-2023,1,6.8,356.13,356.13,03-08-2023,516,7,50.87571429,2023-02
CUST_000091,30-11-2024,Small Business,Technology,USA,Basic,49,24,4,4,34,12,,0,1,96.22,96.22,30-12-2024,1,2,48.11,2024-11
CUST_000092,09-02-2024,Small Business,Healthcare,Australia,Professional,149,12,9,4,96,50,,0,10.9,1763.29,1763.29,09-12-2024,22,11,160.2990909,2024-02
CUST_000093,03-12-2021,Mid-Market,Healthcare,France,Enterprise,999,12,22,5,57,59,,0,37.5,38331.6,38331.6,03-12-2024,28,37,1035.989189,2021-12
CUST_000094,05-02-2021,Mid-Market,Education,Canada,Enterprise,999,12,33,4,35,0,,0,47.5,47312.75,47312.75,05-12-2024,26,47,1006.654255,2021-02
CUST_000095,30-12-2021,Enterprise,Technology,Germany,Basic,49,24,407,2,74,13,,0,36.6,1868.25,1868.25,28-12-2024,3,37,50.49324324,2021-12
CUST_000096,28-04-2024,Small Business,Education,USA,Basic,49,24,5,3,58,42,,0,8.2,458,458,28-12-2024,3,9,50.88888889,2024-04
CUST_000097,10-06-2020,Startup,Retail,Canada,Enterprise,999,12,2,3,46,60,,0,55.5,56280.87,56280.87,10-12-2024,21,55,1023.288545,2020-06
CUST_000098,20-07-2020,Enterprise,Manufacturing,USA,Basic,49,1,142,2,94,46,,0,54.2,2649.4,2649.4,20-12-2024,11,54,49.06296296,2020-07
CUST_000099,22-09-2022,Mid-Market,Finance,UK,Basic,49,12,49,2,62,45,03-07-2024,1,21.7,1081.32,1081.32,22-06-2024,192,22,49.15090909,2022-09
CUST_000100,26-09-2020,Mid-Market,Manufacturing,France,Basic,49,36,15,1,76,13,19-03-2021,1,5.8,287.19,287.19,26-02-2021,1404,6,47.865,2020-09
CUST_000101,26-03-2022,Small Business,Retail,USA,Basic,49,12,7,1,73,-6,,0,33.7,1742.11,1742.11,26-12-2024,5,34,51.23852941,2022-03
CUST_000102,18-07-2023,Small Business,Manufacturing,Australia,Business,399,1,3,3,100,50,,0,17.7,7260.69,7260.69,18-12-2024,13,18,403.3716667,2023-07
CUST_000103,31-03-2021,Small Business,Finance,USA,Professional,149,1,6,3,60,2,,0,45.7,6829.99,6829.99,28-12-2024,3,46,148.4780435,2021-03
CUST_000104,25-01-2024,Startup,Finance,UK,Professional,149,1,4,1,45,11,,0,11.4,1754.3,1754.3,25-12-2024,6,12,146.1916667,2024-01
CUST_000105,16-10-2024,Small Business,Retail,Other,Enterprise,999,1,7,2,51,-42,,0,2.5,3030.54,3030.54,16-12-2024,15,3,1010.18,2024-10
CUST_000106,29-06-2023,Startup,Technology,Germany,Basic,49,12,2,1,84,6,,0,18.4,943.4,943.4,29-12-2024,2,19,49.65263158,2023-06
CUST_000107,13-10-2022,Startup,Finance,Canada,Basic,49,1,2,1,70,13,13-08-2023,1,10.1,559.08,559.08,13-08-2023,506,11,50.82545455,2022-10
CUST_000108,21-09-2024,Mid-Market,Other,Germany,Business,399,12,28,1,55,-9,,0,3.4,1706.89,1706.89,21-12-2024,10,4,426.7225,2024-09
CUST_000109,22-10-2020,Mid-Market,Technology,Other,Business,399,1,29,2,71,-5,,0,51,21523.67,21523.67,22-12-2024,9,51,422.0327451,2020-10
CUST_000110,14-10-2024,Mid-Market,Healthcare,USA,Basic,49,1,43,3,91,33,,0,2.6,140.43,140.43,14-12-2024,17,3,46.81,2024-10
CUST_000111,20-12-2021,Mid-Market,Healthcare,Canada,Basic,49,12,47,4,98,51,,0,36.9,1870.65,1870.65,20-12-2024,11,37,50.55810811,2021-12
CUST_000112,07-11-2024,Startup,Retail,UK,Basic,49,12,3,0,72,52,,0,1.8,102.85,102.85,07-12-2024,24,2,51.425,2024-11
CUST_000113,03-12-2020,Small Business,Technology,USA,Professional,149,1,8,1,87,55,,0,49.6,7434.47,7434.47,03-12-2024,28,49,151.7238776,2020-12
CUST_000114,28-05-2022,Mid-Market,Retail,USA,Basic,49,24,11,1,36,70,,0,31.6,1615.97,1615.97,28-12-2024,3,32,50.4990625,2022-05
CUST_000115,12-12-2022,Startup,Technology,USA,Professional,149,1,1,1,77,79,,0,25,3830.7,3830.7,12-12-2024,19,25,153.228,2022-12
CUST_000116,02-03-2022,Small Business,Technology,Canada,Basic,49,12,6,2,61,23,,0,34.5,1672.03,1672.03,02-12-2024,29,34,49.17735294,2022-03
CUST_000117,04-08-2020,Mid-Market,Manufacturing,Australia,Business,399,12,11,2,42,11,,0,53.7,21200.97,21200.97,04-12-2024,27,53,400.0183019,2020-08
CUST_000118,02-02-2022,Small Business,Healthcare,France,Professional,149,24,3,0,46,60,,0,35.4,5295.32,5295.32,02-12-2024,29,35,151.2948571,2022-02
CUST_000119,06-07-2020,Small Business,Other,Canada,Professional,149,12,9,1,48,-27,28-01-2021,1,6.9,1089.69,1089.69,06-01-2021,1455,7,155.67,2020-07
CUST_000120,14-01-2021,Startup,Technology,USA,Basic,49,12,2,0,70,26,,0,48.2,2412.72,2412.72,14-12-2024,17,48,50.265,2021-01
CUST_000121,07-05-2021,Enterprise,Finance,USA,Basic,49,12,221,2,42,-3,,0,44.5,2206.92,2206.92,07-12-2024,24,44,50.15727273,2021-05
CUST_000122,30-11-2022,Mid-Market,Technology,USA,Business,399,12,24,1,79,-1,,0,25.4,10308.06,10308.06,28-12-2024,3,26,396.4638462,2022-11
CUST_000123,26-03-2023,Small Business,Healthcare,Canada,Business,399,24,5,1,84,8,,0,21.5,8896.07,8896.07,26-12-2024,5,22,404.3668182,2023-03
CUST_000124,15-01-2020,Mid-Market,Other,USA,Business,399,1,49,4,62,58,,0,60.4,24396.49,24396.49,15-12-2024,16,60,406.6081667,2020-01
CUST_000125,05-03-2020,Small Business,Real Estate,UK,Business,399,24,4,1,60,100,,0,58.7,23185.47,23185.47,05-12-2024,26,58,399.7494828,2020-03
CUST_000126,04-06-2021,Small Business,Technology,Other,Basic,49,1,5,2,68,60,,0,43.5,2115.77,2115.77,04-12-2024,27,43,49.20395349,2021-06
CUST_000127,29-09-2023,Small Business,Retail,Germany,Business,399,36,3,0,55,-44,,0,15.3,6390.7,6390.7,29-12-2024,2,16,399.41875,2023-09
CUST_000128,26-02-2023,Startup,Retail,France,Basic,49,12,2,3,94,21,,0,22.5,1201.97,1201.97,26-12-2024,5,23,52.25956522,2023-02
CUST_000129,09-10-2021,Small Business,Technology,Germany,Basic,49,24,5,3,23,4,20-08-2023,1,22.7,1144.54,1144.54,09-08-2023,510,23,49.7626087,2021-10
CUST_000130,04-02-2024,Mid-Market,Technology,USA,Business,399,12,27,3,57,-11,,0,11,4414.45,4414.45,04-12-2024,27,11,401.3136364,2024-02
CUST_000131,22-12-2022,Small Business,Real Estate,USA,Business,399,1,9,2,33,22,06-08-2024,1,19.8,8007.18,8007.18,22-07-2024,162,20,400.359,2022-12
CUST_000132,08-03-2023,Startup,Other,France,Business,399,1,3,2,76,1,,0,22.1,8953.07,8953.07,08-12-2024,23,22,406.9577273,2023-03
CUST_000133,02-03-2024,Small Business,Other,Germany,Business,399,24,5,3,69,-2,,0,10.1,4268.12,4268.12,02-12-2024,29,10,426.812,2024-03
CUST_000134,15-08-2021,Mid-Market,Education,Canada,Enterprise,999,12,14,1,80,57,,0,41.1,41642.58,41642.58,15-12-2024,16,41,1015.672683,2021-08
CUST_000135,26-01-2021,Startup,Retail,USA,Basic,49,12,2,2,68,37,,0,47.8,2371.6,2371.6,26-12-2024,5,48,49.40833333,2021-01
CUST_000136,25-08-2024,Small Business,Healthcare,Canada,Enterprise,999,1,4,3,72,95,,0,4.3,4729.52,4729.52,25-12-2024,6,5,945.904,2024-08
CUST_000137,22-02-2021,Mid-Market,Technology,USA,Professional,149,36,33,1,47,-18,,0,46.9,7184.95,7184.95,22-12-2024,9,47,152.8712766,2021-02
CUST_000138,15-10-2020,Mid-Market,Technology,USA,Business,399,1,27,0,67,-27,26-02-2021,1,4.5,2046.22,2046.22,15-02-2021,1415,5,409.244,2020-10
CUST_000139,13-01-2021,Enterprise,Manufacturing,USA,Business,399,1,92,5,49,17,,0,48.3,20015.68,20015.68,13-12-2024,18,48,416.9933333,2021-01
CUST_000140,01-12-2024,Startup,Education,UK,Professional,149,36,1,4,77,10,,0,1,136.19,136.19,01-12-2024,30,1,136.19,2024-12
CUST_000141,22-02-2024,Mid-Market,Education,USA,Business,399,36,17,0,46,56,,0,10.4,4516.46,4516.46,22-12-2024,9,11,410.5872727,2024-02
CUST_000142,18-08-2020,Mid-Market,Real Estate,USA,Basic,49,1,10,0,54,46,12-06-2022,1,22.1,1080.76,1080.76,18-05-2022,958,22,49.12545455,2020-08
CUST_000143,14-10-2022,Startup,Real Estate,Germany,Enterprise,999,24,4,3,63,53,,0,27,27349.83,27349.83,14-12-2024,17,27,1012.956667,2022-10
CUST_000144,10-02-2020,Mid-Market,Other,Canada,Basic,49,1,45,1,95,-32,,0,59.5,2925.45,2925.45,10-12-2024,21,59,49.58389831,2020-02
CUST_000145,17-11-2022,Enterprise,Technology,UK,Basic,49,1,205,1,65,19,,0,25.8,1297.5,1297.5,17-12-2024,14,26,49.90384615,2022-11
CUST_000146,14-05-2020,Enterprise,Manufacturing,UK,Basic,49,24,88,3,100,-45,,0,56.4,2836.95,2836.95,14-12-2024,17,56,50.65982143,2020-05
CUST_000147,19-07-2020,Mid-Market,Retail,Other,Basic,49,24,31,4,92,72,,0,54.2,2693.89,2693.89,19-12-2024,12,54,49.88685185,2020-07
CUST_000148,18-02-2022,Mid-Market,Healthcare,USA,Basic,49,1,38,2,58,-3,,0,34.9,1699.5,1699.5,18-12-2024,13,35,48.55714286,2022-02
CUST_000149,18-07-2022,Small Business,Other,USA,Basic,49,1,9,2,73,28,,0,29.9,1478.2,1478.2,18-12-2024,13,30,49.27333333,2022-07
CUST_000150,22-11-2022,Mid-Market,Real Estate,Canada,Professional,149,1,36,5,76,-29,,0,25.7,3986.67,3986.67,22-12-2024,9,26,153.3334615,2022-11
CUST_000151,07-12-2022,Mid-Market,Technology,USA,Professional,149,24,13,6,6,-2,25-04-2023,1,4.6,795.69,795.69,07-04-2023,634,5,159.138,2022-12
CUST_000152,17-05-2021,Startup,Technology,Canada,Basic,49,36,4,0,30,17,29-03-2023,1,22.7,1126.88,1126.88,17-03-2023,655,23,48.99478261,2021-05
CUST_000153,10-02-2021,Small Business,Manufacturing,Canada,Basic,49,1,9,1,73,25,,0,47.3,2264.08,2264.08,10-12-2024,21,47,48.17191489,2021-02
CUST_000154,16-05-2024,Small Business,Retail,Other,Enterprise,999,24,8,0,75,33,,0,7.6,8129.01,8129.01,16-12-2024,15,8,1016.12625,2024-05
CUST_000155,17-10-2024,Small Business,Other,Australia,Basic,49,1,3,3,68,58,,0,2.5,144.22,144.22,17-12-2024,14,3,48.07333333,2024-10
CUST_000156,15-03-2022,Mid-Market,Technology,Other,Basic,49,12,13,1,42,71,,0,34.1,1692.93,1692.93,15-12-2024,16,34,49.79205882,2022-03
CUST_000157,08-04-2020,Small Business,Technology,USA,Basic,49,1,5,3,100,56,,0,57.6,2854,2854,08-12-2024,23,57,50.07017544,2020-04
CUST_000158,14-11-2021,Small Business,Healthcare,Australia,Basic,49,12,3,2,76,34,07-09-2023,1,22.1,1089.61,1089.61,14-08-2023,505,22,49.52772727,2021-11
CUST_000159,26-12-2021,Small Business,Technology,USA,Business,399,1,3,1,85,4,,0,36.7,15094.87,15094.87,26-12-2024,5,37,407.9694595,2021-12
CUST_000160,19-04-2024,Startup,Technology,Canada,Professional,149,36,1,1,83,18,,0,8.5,1375.52,1375.52,19-12-2024,12,9,152.8355556,2024-04
CUST_000161,18-08-2022,Enterprise,Real Estate,Germany,Professional,149,1,427,1,67,28,,0,28.9,4430.59,4430.59,18-12-2024,13,29,152.7789655,2022-08
CUST_000162,28-10-2024,Startup,Healthcare,USA,Basic,49,12,2,5,66,43,,0,2.1,140.57,140.57,28-12-2024,3,3,46.85666667,2024-10
CUST_000163,04-09-2021,Mid-Market,Finance,Canada,Business,399,24,43,2,83,-3,,0,40.5,16177.05,16177.05,04-12-2024,27,40,404.42625,2021-09
CUST_000164,25-01-2024,Startup,Technology,USA,Business,399,12,2,3,54,24,,0,11.4,5046.6,5046.6,25-12-2024,6,12,420.55,2024-01
CUST_000165,04-10-2021,Small Business,Healthcare,USA,Basic,49,1,8,3,84,64,,0,39.5,1897.87,1897.87,04-12-2024,27,39,48.66333333,2021-10
CUST_000166,27-11-2024,Startup,Education,Other,Basic,49,12,1,1,68,68,,0,1.1,91.97,91.97,27-12-2024,4,2,45.985,2024-11
CUST_000167,25-10-2022,Enterprise,Retail,USA,Basic,49,24,309,3,76,13,,0,26.6,1390.47,1390.47,25-12-2024,6,27,51.49888889,2022-10
